,core_qqq_trade_dips,QQQ_buy_hold,DIA_buy_hold,equal_weight_stocks
2023-01-03,1.0000000000000002,1.0,1.0,1.0
2023-01-04,1.0020320914040814,1.0047637219577346,1.004044918151042,1.0098593505378144
2023-01-05,0.9857313130903599,0.9890346557298951,0.9939612775369343,0.9965996402768894
2023-01-06,1.011077086226367,1.016333921625953,1.0152762162724631,1.0236596657925114
2023-01-09,1.0176321797846781,1.0229129162472497,1.0122872212664114,1.0377015003454082
2023-01-10,1.025054498985752,1.0315712852759216,1.0181448221526945,1.045066106961892
2023-01-11,1.0467105872571745,1.0494176397593342,1.0257833214802365,1.0663132067281598
2023-01-12,1.0497412747348593,1.0550889391764147,1.0325456500699841,1.0881451533445097
2023-01-13,1.0581242232144838,1.0623486168922207,1.035686036113217,1.094545636223417
2023-01-17,1.0587136683425455,1.064503818995992,1.0239712255319615,1.104446983825998
2023-01-18,1.0480615864089977,1.0506653821486296,1.005283332042402,1.104026818914707
2023-01-19,1.0452152445945448,1.0403431603594469,0.9982186125696028,1.1065876316420666
2023-01-20,1.0783772526985462,1.068814105458664,1.0082506159307185,1.1439483029874982
2023-01-23,1.1015612803131694,1.092558889213734,1.0158045201373551,1.1800510431150681
2023-01-24,1.0964447953251413,1.0903280949033074,1.0186149363101427,1.1710654429706489
2023-01-25,1.0886495663700488,1.087908084586502,1.0192796681445875,1.150323248249892
2023-01-26,1.1103382671080455,1.1091195874596533,1.0254438652205107,1.1692054679782797
2023-01-27,1.123793479294597,1.120160170701803,1.026199353439002,1.1807000193010353
2023-01-30,1.10014390859267,1.097512180412458,1.0184936670038736,1.1630368433292118
2023-01-31,1.1169522921438397,1.113959490348394,1.029885744753929,1.1717801461937685
2023-02-01,1.1381061220176432,1.1377796308203791,1.03000652507106,1.1898158927917175
2023-02-02,1.187404980358509,1.1786144937576968,1.0286773547956534,1.2401227799817442
2023-02-03,1.1673375290980217,1.15766791684245,1.0242957187240591,1.229899115452442
2023-02-06,1.1532697877991887,1.1478748404998553,1.0227852312762147,1.2027422872856153
2023-02-07,1.1810053770859192,1.1716574203582528,1.0319708922369648,1.2405007721409576
2023-02-08,1.154615595309671,1.150824231752989,1.0256252801907761,1.2010769634219391
2023-02-09,1.1446057677750594,1.1406531943771172,1.0185543994548358,1.19282245072663
2023-02-10,1.1370014913236492,1.1331669755310854,1.0235401327077402,1.186220802458676
2023-02-13,1.152758311547501,1.1513156988411197,1.0350831125058386,1.1972830957014475
2023-02-14,1.161255294020687,1.1598230012013508,1.0308226479426859,1.2041397924148018
2023-02-15,1.164946063448573,1.1687083823397295,1.0323935744480095,1.1948644901262402
2023-02-16,1.1437965112768345,1.146778400268741,1.0194910092501097,1.176456367979408
2023-02-17,1.135053094940583,1.1386868550451146,1.0238860436240902,1.165779498895531
2023-02-21,1.1072297842506234,1.1117288137828376,1.0025783419278065,1.1342640123076941
2023-02-22,1.1062558137025205,1.1125602103111774,1.0003686978101893,1.1312409206861156
2023-02-23,1.1186677404227479,1.1222774589573763,1.0038492246979416,1.1443399844284292
2023-02-24,1.0987000756338023,1.1034862018907707,0.9931049597581498,1.1217065785406533
2023-02-27,1.10395537318726,1.111388413363148,0.9959495073727826,1.1240568463649154
2023-02-28,1.1025169911296337,1.1099512194777332,0.9884135001686034,1.1223706390322754
2023-03-01,1.0984065404537582,1.1010283954706375,0.9897148958609612,1.1239659208339605
2023-03-02,1.1080209929487175,1.1101405532289823,1.0001265503889616,1.1344481478506037
2023-03-03,1.1293948057444632,1.1330913833244298,1.0115372097262678,1.1577082330356874
2023-03-06,1.1326659430737496,1.1343766863273126,1.012959287937929,1.1697721294170471
2023-03-07,1.1192339232513095,1.120462657273295,0.9953750429332463,1.1557826085467229
2023-03-08,1.127915804110617,1.1260585999734603,0.9942246470867592,1.1695465879773321
2023-03-09,1.107459134569848,1.106548510474407,0.9778502590077667,1.1474617143086057
2023-03-10,1.0907355396161966,1.0910087779978168,0.9677112648232168,1.1282224712957174
2023-03-13,1.0986527694115404,1.0990999699868327,0.9649567890078371,1.1374826839987429
2023-03-14,1.1233209461524996,1.1243571865993622,0.975156613441177,1.1608176705610325
2023-03-15,1.1249787189502913,1.1302554981261492,0.9671362135967146,1.1582277348168328
2023-03-16,1.157554868831187,1.1600498955661873,0.9783650667724448,1.1954083902770687
2023-03-17,1.1551817692165298,1.1545671056862647,0.9665537297353122,1.1987714173955666
2023-03-20,1.1596602957024695,1.1586648626582623,0.9780857561767152,1.2062613322723954
2023-03-21,1.1808906014438416,1.175213315437683,0.9881608883798186,1.236252834007406
2023-03-22,1.1676632233368123,1.1592326284222694,0.971652028287826,1.2271281820503521
2023-03-23,1.184024426357838,1.172979106526021,0.9736549277978198,1.2473215183174011
2023-03-24,1.1838790620727155,1.1772961044462935,0.9781463908298498,1.2420995417719232
2023-03-27,1.1699767138499801,1.1692301098594962,0.9841854066863983,1.2160544680548502
2023-03-28,1.1640820569241521,1.1630195389369922,0.9826681711884471,1.2097030465748166
2023-03-29,1.1843156971719544,1.1842259787807259,0.9925919123543693,1.22820360798705
2023-03-30,1.191641391649873,1.1954351726769732,0.9968402499868951,1.2292649114462493
2023-03-31,1.2108082796329418,1.215316276261963,1.00940414130769,1.2491564954471455
2023-04-03,1.208944718605648,1.212362175214022,1.0193880281376086,1.2540880966151517
2023-04-04,1.2049709097100458,1.2082724248931966,1.0134097447320223,1.250960918156869
2023-04-05,1.1918908814221623,1.196343927585021,1.0160803100112898,1.236117629346903
2023-04-06,1.2024627490542859,1.2044099221718183,1.016322848623828,1.2534753063933255
2023-04-10,1.1973538910012205,1.2037284148632175,1.019539908163928,1.2335275390336664
2023-04-11,1.1907532401294878,1.1960029384409803,1.022392181806944,1.2271631796797653
2023-04-12,1.1774030288612933,1.1854378089846165,1.0215124903473545,1.2119122300896346
2023-04-13,1.19832937131594,1.208651210140565,1.0329234430781435,1.2377363346018624
2023-04-14,1.1985296344616763,1.2063790873807052,1.028279904424139,1.242867002087534
2023-04-17,1.1975818874685906,1.2074015838333467,1.031557500819546,1.235649234624528
2023-04-18,1.1962813186241763,1.2074772937848723,1.0311930083159448,1.2341397784049848
2023-04-19,1.1937238522082811,1.2069091747862548,1.0287348599183037,1.231920556931662
2023-04-20,1.1920640139140248,1.1977071776919628,1.025579021818304,1.2427800453003197
2023-04-21,1.1855067317594337,1.1989566862543108,1.0266233070218058,1.221135835462628
2023-04-24,1.1828360269564973,1.1964577868744848,1.0285665498569414,1.2207535791415947
2023-04-25,1.1589207085783002,1.1738877436891988,1.0181822787206791,1.1980240297465645
2023-04-26,1.1640362233655352,1.181007305009491,1.010955899438797,1.1972924185473302
2023-04-27,1.1952874358273897,1.2131198634536289,1.0268969453435324,1.2306438712882233
2023-04-28,1.202522830285878,1.221488933336269,1.0354895602774954,1.2359502046631035
2023-05-01,1.200689638866657,1.220087533891389,1.0334555610583134,1.2337379185774042
2023-05-02,1.188597447614776,1.2094463412488892,1.0228583840512868,1.219286995348804
2023-05-03,1.1822443295004381,1.201531766565143,1.014477697009812,1.2155373511673027
2023-05-04,1.1797872191668992,1.197290949575877,1.0060368643043405,1.2119889558499022
2023-05-05,1.2027800159987987,1.2227384418986171,1.0224334524902066,1.2427457290174775
2023-05-08,1.2086348523476396,1.2257677819186032,1.0208849216874116,1.2533674562103307
2023-05-09,1.2013953518026101,1.218005098117389,1.0195183926418478,1.2450062046751287
2023-05-10,1.215981482356757,1.2312588139394385,1.0186680405305493,1.2655170456057416
2023-05-11,1.2215449221031007,1.2352728543087381,1.012109522613596,1.277399046358384
2023-05-12,1.2185081157994337,1.2308423503336123,1.011714908379083,1.2784022883593096
2023-05-15,1.2276496399193335,1.2375069454755296,1.0134454409391096,1.2834189811398635
2023-05-16,1.2308881773488913,1.2389081094306693,1.0030614631963304,1.295635437862189
2023-05-17,1.2534314040430274,1.253903978351899,1.0159961060816949,1.3248977173874728
2023-05-18,1.2767289590598268,1.2771933249491136,1.020398768686231,1.346660350500988
2023-05-19,1.2742383511820967,1.274315522577049,1.016917557213685,1.3463756925755683
2023-05-22,1.2772913766440253,1.2785946066491234,1.012992636997153,1.3484824755390001
2023-05-23,1.260363971610112,1.262386789779133,1.0060240527889202,1.3263191049473515
2023-05-24,1.2536197174316213,1.255911057408984,0.9981123063309619,1.3194556720504826
2023-05-25,1.3007148585878219,1.2864712674846717,0.9973210241075557,1.3811520601987015
2023-05-26,1.3321909999822783,1.3193411609338064,1.0067237962456588,1.402129480663031
2023-05-30,1.3340825625931074,1.3253244842568632,1.005750316669366,1.3980449163973638
2023-05-31,1.3209722022654042,1.3177886948204856,1.002707043868976,1.379575506601497
2023-06-01,1.3341822302882618,1.3330118113411624,1.0070284364787463,1.3914774768369735
