date,ticker,action,price,shares,cash_flow,drawdown,portfolio_value_before_trade,unrealized_gain_before_trade
2023-01-03,GOOGL,buy_down_25pct,88.3366928100586,0.0011320324184540148,-0.1,-0.4052262874240793,1.0,
2023-01-03,GOOGL,buy_down_35pct,88.3366928100586,0.0011320324184540148,-0.1,-0.4052262874240793,1.0,
2023-01-03,AAPL,buy_down_25pct,122.98271942138672,0.0008131223676829019,-0.09999999999999998,-0.30885187693924065,1.0,
2023-02-02,GOOGL,sell_gain_20pct,106.79304504394531,0.0011320324184540148,0.12089318905516595,,1.1874049803585087,0.2089318905516595
2023-02-02,AAPL,sell_gain_20pct,148.30296325683594,0.00040656118384145096,0.06029422830889442,,1.1874049803585087,0.20588456617788875
2023-02-02,TSM,buy_down_25pct,91.76691436767578,0.001293935824845347,-0.11874049803585088,-0.29804985333136,1.1874049803585087,
2023-02-21,TSM,buy_down_35pct,83.21212768554688,0.0007457135846443247,-0.06205241402227041,-0.3634877489783618,1.1072297842506236,
2023-03-30,AAPL,sell_gain_30pct,159.89414978027344,0.00020328059192072548,0.032503377411995125,,1.191641391649873,0.3001350964798053
2023-03-31,AAPL,sell_near_prior_high,162.3955535888672,0.00020328059192072548,0.03301186425883882,,1.2108082796329418,0.3204745703535532
2023-05-11,GOOGL,sell_gain_30pct,115.5454330444336,0.0005660162092270074,0.0654005880053033,,1.221544922103101,0.3080117601060659
2023-08-30,GOOGL,sell_near_prior_high,134.6857147216797,0.0005660162092270074,0.07623429768379528,,1.4111511446182297,0.5246859536759054
2024-01-18,TSM,sell_gain_20pct,109.40526580810547,0.0010198247047448357,0.11157419290028144,,1.5718870988934568,0.2342761851682833
2024-02-06,TSM,sell_gain_30pct,115.55162811279297,0.0005099123523724179,0.05892120251145708,,1.6297802064111238,0.3036175332474338
2024-02-07,TSM,sell_near_prior_high,120.97203063964844,0.0005099123523724179,0.06168513271473135,,1.6487086058620122,0.36476882887755724
2025-03-28,GOOGL,buy_down_25pct,153.70489501953125,0.0011730599582219284,-0.1803050577301172,-0.25134354838877504,1.803050577301172,
2025-03-28,TSM,buy_down_25pct,162.8469696044922,0.0011072054835777763,-0.1803050577301172,-0.26144659138533044,1.803050577301172,
2025-04-04,AAPL,buy_down_25pct,187.389892578125,0.0008476381135751292,-0.15883881504796799,-0.27192046464160435,1.6303957809751197,
2025-06-04,TSM,sell_near_prior_high,199.45672607421875,0.0011072054835777763,0.22083958084584543,,2.0161765012939106,0.22481079358517375
2025-07-18,GOOGL,sell_gain_20pct,184.53355407714844,0.0005865299791109642,0.10823446161814186,,2.1466322847254586,0.20057044412085778
2025-07-21,GOOGL,sell_near_prior_high,189.55923461914062,0.0005865299791109642,0.11118217392145491,,2.160321769597905,0.23326738940261715
2025-08-08,AAPL,sell_gain_20pct,228.4437255859375,0.0004238190567875646,0.09681880430686926,,2.211011492361915,0.21908242991652638
2025-08-13,AAPL,sell_near_prior_high,232.6717529296875,0.0004238190567875646,0.09861072286776942,,2.2341091597823306,0.2416451588107078
