date,ticker,action,price,shares,cash_flow,drawdown,portfolio_value_before_trade,unrealized_gain_before_trade
2023-01-03,GOOGL,buy_down_25pct,88.3366928100586,0.0011320324184540148,-0.1,-0.40522634852987727,1.0,
2023-01-03,GOOGL,buy_down_35pct,88.3366928100586,0.0011320324184540148,-0.1,-0.40522634852987727,1.0,
2023-01-03,NVDA,buy_down_25pct,14.299907684326172,0.006993052137644768,-0.09999999999999998,-0.5706453397082693,1.0,
2023-01-17,NVDA,sell_gain_20pct,17.683340072631836,0.003496526068822384,0.06183025954780872,,1.073683212766341,0.2366051909561746
2023-01-17,NVDA,buy_down_35pct,17.683340072631836,0.0031331668022178366,-0.05540485406789841,-0.46905779832202077,1.073683212766341,
2023-02-01,NVDA,sell_gain_30pct,20.920923233032227,0.00331484643552011,0.06934964780680673,,1.1673944451284934,0.31587199508162933
2023-02-01,TSM,buy_down_25pct,89.95340728759766,0.0006168432975901161,-0.055487156380748526,-0.3119217830968283,1.1673944451284934,
2023-02-02,GOOGL,sell_gain_20pct,106.79303741455078,0.0011320324184540148,0.120893180418444,,1.2167827268831304,0.2089318041844399
2023-02-02,AMZN,buy_down_25pct,112.91000366210938,0.0010242645292587848,-0.11564971174957814,-0.3948131868563265,1.2167827268831304,
2023-02-10,AMZN,buy_down_35pct,97.61000061035156,0.00013333856077578585,-0.013015176998707856,-0.47681973886823714,1.1512700838310543,
2023-05-11,GOOGL,sell_gain_30pct,115.5454330444336,0.0005660162092270074,0.0654005880053033,,1.2829316167549125,0.3080117601060659
2023-05-11,TSM,buy_down_35pct,79.62720489501953,0.0005758531432625739,-0.04585357622801001,-0.3909097296784366,1.2829316167549125,
2023-05-17,NVDA,sell_near_prior_high,30.15130615234375,0.00331484643552011,0.09994694972537224,,1.3164951565214467,0.8964392220682673
2023-05-17,META,buy_down_25pct,240.3790740966797,0.00037439830618630945,-0.08999751818443025,-0.365508474207641,1.3164951565214464,
2023-06-12,TSM,sell_gain_20pct,102.18011474609376,0.0005963482204263449,0.060934929591792746,,1.4416391437506921,0.20257527300579925
2023-06-12,TSLA,buy_down_25pct,249.8300018310547,0.00022044822759114711,-0.05507458110274904,-0.3906139447101612,1.441639143750692,
2023-07-05,META,sell_gain_20pct,291.80743408203125,0.00018719915309315472,0.05462610452644282,,1.486455407456207,0.2139469093914026
2023-07-05,AMD,buy_down_25pct,113.9499969482422,0.0004570635249853959,-0.052082387277238684,-0.2962139807862342,1.486455407456207,
2023-07-13,AMZN,sell_gain_20pct,134.3000030517578,0.0005788015450172853,0.07773304926218355,,1.52352570254297,0.20830243617210709
2023-07-19,META,sell_gain_30pct,313.2590637207031,9.359957654657736e-05,0.02932091571363511,,1.5445552921621015,0.3031877458464265
2023-07-20,TSLA,buy_down_35pct,262.8999938964844,0.0004384676327668046,-0.11527313797819888,-0.3587335826677843,1.4990618504610334,
2023-08-30,GOOGL,sell_near_prior_high,134.68569946289062,0.0005660162092270074,0.07623428904707334,,1.50358079525527,0.5246857809414667
2023-09-13,AMZN,sell_gain_30pct,144.85000610351562,0.00028940077250864265,0.04191970366423903,,1.510214502554525,0.30322123065753503
2023-09-15,AMD,buy_down_35pct,101.48999786376952,0.0010043059198011845,-0.1019270056551933,-0.3731703071567499,1.49627693359228,
2023-10-19,TSLA,buy_down_45pct,220.1100006103516,7.044793945898716e-05,-0.015506295997315678,-0.46310705672374886,1.4324863273382789,
2023-12-07,AMD,sell_gain_20pct,128.3699951171875,0.0007306847223932902,0.09379799424583016,,1.582012678660425,0.21808147490045404
2023-12-12,AMD,sell_gain_30pct,137.61000061035156,0.0003653423611966451,0.05027476254725761,,1.611799937301878,0.3057583460332054
2023-12-18,META,sell_near_prior_high,341.6200561523437,9.359957654657736e-05,0.03197549259567735,,1.6562484006217675,0.4211721941109783
2023-12-27,AMD,sell_near_prior_high,146.07000732421875,0.0003653423611966451,0.053365561375841315,,1.6814835732379574,0.38603393883265813
2024-01-19,TSM,sell_gain_30pct,110.53773498535156,0.00029817411021317247,0.03295949077423667,,1.6842581840170077,0.30093753718879634
2024-02-02,AMZN,sell_near_prior_high,171.80999755859375,0.00028940077250864265,0.04972194601816504,,1.6987486848256141,0.5457813394744777
2024-02-07,TSM,sell_near_prior_high,120.97203063964844,0.00029817411021317247,0.03607072759665781,,1.711787660722043,0.4237405500477047
2024-04-17,AMD,buy_down_25pct,154.02000427246094,0.0010829658622612524,-0.16679840673240742,-0.2713596332924276,1.6679840673240742,
2024-08-01,AMD,buy_down_35pct,132.5399932861328,0.0013596742526289832,-0.18021121631477308,-0.37297762217570196,1.8021121631477306,
2024-08-05,NVDA,buy_down_25pct,100.4015884399414,0.0004289623689147296,-0.043068503219999,-0.25910896277573203,1.724803791562902,
2024-08-15,NVDA,sell_near_prior_high,122.80079650878906,0.0004289623689147296,0.052676920575025814,,1.884466119281596,0.2230961523307622
2024-10-04,AMD,sell_gain_20pct,170.89999389648438,0.0012213200574451178,0.20872359036302457,,2.0073606976567757,0.20298445057614933
2024-11-08,TSLA,sell_gain_20pct,321.2200012207031,0.0003646818999084694,0.11714312033376688,,2.1201693448101206,0.2605928398634554
2024-11-11,TSLA,sell_gain_30pct,350.0,0.0001823409499542347,0.06381933248398215,,2.1288684580975765,0.37353680429465386
2024-12-05,TSLA,sell_near_prior_high,369.489990234375,0.0001823409499542347,0.06737315581791684,,2.1543455654230605,0.45002314401538923
2025-01-10,AMD,buy_down_45pct,116.04000091552734,0.0017847334649059119,-0.20710047290165431,-0.4510360571717318,2.071004729016543,
