date,ticker,action,price,shares,cash_flow,drawdown,portfolio_value_before_trade
2014-04-04,AMZN,buy_down_20pct,16.149999618530273,0.0030959753053263687,-0.05,-0.20648574415692056,1.0
2014-04-04,META,buy_down_20pct,56.255985260009766,0.000888794317065194,-0.05,-0.21213381230546657,1.0
2014-04-11,TSLA,buy_down_20pct,13.585332870483398,0.0036797909672256863,-0.049991185183559016,-0.2003609846886314,0.9998237036711802
2014-07-24,META,sell_new_high,74.3272933959961,0.000888794317065194,0.06606167597319865,,1.0264215756782216
2014-08-11,TSLA,sell_new_high,17.288000106811523,0.0036797909672256863,0.06361622663444175,,1.0289638086547535
2014-10-13,TSLA,buy_down_20pct,14.97266674041748,0.0034299995370093905,-0.05135623998742786,-0.2148300399827081,1.027124799748557
2014-12-16,TSLA,buy_down_30pct,13.187333106994627,0.0038644581891618362,-0.05096189741853039,-0.3084533311355213,1.0192379483706078
2015-04-24,AMZN,sell_new_high,22.2549991607666,0.0030959753053263687,0.06890092782179245,,1.0524914032519035
2015-08-24,AAPL,buy_down_20pct,23.10832405090332,0.002277762268907066,-0.05263526862082527,-0.21844888699405018,1.0527053724165054
2016-02-02,AMZN,buy_down_20pct,27.604999542236328,0.0018673270397853853,-0.05154756207848108,-0.20443251783970195,1.0309512415696216
2016-02-05,NVDA,buy_down_20pct,0.6446609497070312,0.07883973516515165,-0.050824898546217495,-0.21688886616962155,1.0164979709243498
2016-02-05,TSLA,buy_down_40pct,10.84000015258789,0.004688643711327236,-0.050824898546217495,-0.4315479911524729,1.0164979709243498
2016-02-09,AMZN,buy_down_30pct,24.103500366210938,0.002078232439974011,-0.05009267637798503,-0.3053446326540753,1.0018535275597005
2016-03-18,NVDA,sell_new_high,0.8276728987693787,0.07883973516515165,0.06525351214235119,,1.1050312617492009
2016-05-10,AMZN,sell_new_high,35.153499603271484,0.003945559479759397,0.138700223606406,,1.1094560871160946
2016-05-12,AAPL,buy_down_30pct,20.565866470336918,0.0026907025507907855,-0.055336629370958235,-0.30443783831241333,1.1067325874191647
2017-02-01,AAPL,sell_new_high,29.61996841430664,0.004968464819697852,0.14716577102704412,,1.185238285235278
2017-04-03,TSLA,sell_new_high,19.90133285522461,0.011983101437498462,0.2384796903455774,,1.2246067714206095
2017-11-02,TSLA,buy_down_20pct,19.950666427612305,0.003069087380774704,-0.061230338571030475,-0.22270134652366413,1.2246067714206095
2018-03-27,META,buy_down_20pct,150.8948974609375,0.0004044199990254585,-0.061024914284099,-0.21166296295941978,1.22049828568198
2018-03-28,TSLA,buy_down_30pct,17.185333251953125,0.003539193644053817,-0.060822222216259214,-0.33044159478315904,1.2164444443251843
