,strategy2,QQQ
2014-01-02,1.0,1.0
2014-01-03,1.0,0.9927811598979653
2014-01-06,1.0,0.9891146330511523
2014-01-07,1.0,0.9982813849915031
2014-01-08,1.0,1.0004586902870423
2014-01-09,1.0,0.9971355772342357
2014-01-10,1.0,1.0003438969310268
2014-01-13,1.0,0.9855625130507387
2014-01-14,1.0,1.0043544173362704
2014-01-15,1.0,1.012605044858789
2014-01-16,1.0,1.0127196449599967
2014-01-17,1.0,1.0069900264092357
2014-01-21,1.0,1.0146676534257169
2014-01-22,1.0,1.017302779361662
2014-01-23,1.0,1.0138650662076478
2014-01-24,1.0,0.9939266777730205
2014-01-27,1.0,0.9843018153100518
2014-01-28,1.0,0.9837286215492059
2014-01-29,1.0,0.9731875380410011
2014-01-30,1.0,0.9911767584810597
2014-01-31,1.0,0.9885413426629025
2014-02-03,1.0,0.9658530349363144
2014-02-04,1.0,0.9729575648193536
2014-02-05,1.0,0.9704365558475958
2014-02-06,1.0,0.9828122072491617
2014-02-07,1.0,1.0003438969310268
2014-02-10,1.0,1.0060735154817877
2014-02-11,1.0,1.0175319795640771
2014-02-12,1.0,1.0194802779120093
2014-02-13,1.0,1.0270430149450707
2014-02-14,1.0,1.029105237002382
2014-02-18,1.0,1.0341471583184938
2014-02-19,1.0,1.0270430149450707
2014-02-20,1.0,1.031855446176555
2014-02-21,1.0,1.030481017981297
2014-02-24,1.0,1.0359805666830064
2014-02-25,1.0,1.034834952180547
2014-02-26,1.0,1.0339180547434828
2014-02-27,1.0,1.040625929132882
2014-02-28,1.0,1.0394753866328161
2014-03-03,1.0,1.0317664523374217
2014-03-04,1.0,1.0448833325554827
2014-03-05,1.0,1.0477598337467537
2014-03-06,1.0,1.0468395543505473
2014-03-07,1.0,1.0416615816495283
2014-03-10,1.0,1.0425822475553508
2014-03-11,1.0,1.0380949675385067
2014-03-12,1.0,1.0420069279916158
2014-03-13,1.0,1.0272788824383654
2014-03-14,1.0,1.0202600610627217
2014-03-17,1.0,1.0292352974882382
2014-03-18,1.0,1.0416615816495283
2014-03-19,1.0,1.0360237591326182
2014-03-20,1.0,1.0389003569512933
2014-03-21,1.0,1.0263988000422455
2014-03-24,1.0,1.017403465116686
2014-03-25,1.0,1.0207480294531923
2014-03-26,1.0,1.0076006149754504
2014-03-27,1.0,1.0019497477589931
2014-03-28,1.0,1.0039106076694524
2014-03-31,1.0,1.0110606490598009
2014-04-01,1.0,1.0288207659248485
2014-04-02,1.0,1.031473284793523
2014-04-03,1.0,1.0232854650836392
2014-04-04,0.9999999999999999,0.996068424183868
2014-04-07,0.9993650643017574,0.9866116934039525
2014-04-08,1.0018987513735633,0.99572211156774
2014-04-09,1.006350562168222,1.012790472847168
2014-04-10,1.0012115870507028,0.981422028787043
2014-04-11,0.9998237036711802,0.9700042448418601
2014-04-14,0.9993920730435945,0.9776162618509887
