,strategy2,QQQ
2014-01-02,1.0,1.0
2014-01-03,0.9927811598979653,0.9927811598979653
2014-01-06,0.9891146330511523,0.9891146330511523
2014-01-07,0.9982813849915031,0.9982813849915031
2014-01-08,1.0004586902870423,1.0004586902870423
2014-01-09,0.9971355772342357,0.9971355772342357
2014-01-10,1.0003438969310268,1.0003438969310268
2014-01-13,0.9855625130507388,0.9855625130507387
2014-01-14,1.0043544173362704,1.0043544173362704
2014-01-15,1.0126050448587893,1.012605044858789
2014-01-16,1.0127196449599967,1.0127196449599967
2014-01-17,1.0069900264092357,1.0069900264092357
2014-01-21,1.0146676534257169,1.0146676534257169
2014-01-22,1.017302779361662,1.017302779361662
2014-01-23,1.0138650662076478,1.0138650662076478
2014-01-24,0.9939266777730205,0.9939266777730205
2014-01-27,0.9843018153100518,0.9843018153100518
2014-01-28,0.9837286215492059,0.9837286215492059
2014-01-29,0.9731875380410011,0.9731875380410011
2014-01-30,0.9911767584810598,0.9911767584810597
2014-01-31,0.9885413426629025,0.9885413426629025
2014-02-03,0.9658530349363144,0.9658530349363144
2014-02-04,0.9729575648193537,0.9729575648193536
2014-02-05,0.9704365558475958,0.9704365558475958
2014-02-06,0.9828122072491619,0.9828122072491617
2014-02-07,1.0003438969310268,1.0003438969310268
2014-02-10,1.0060735154817877,1.0060735154817877
2014-02-11,1.0175319795640771,1.0175319795640771
2014-02-12,1.0194802779120093,1.0194802779120093
2014-02-13,1.0270430149450707,1.0270430149450707
2014-02-14,1.029105237002382,1.029105237002382
2014-02-18,1.0341471583184938,1.0341471583184938
2014-02-19,1.0270430149450707,1.0270430149450707
2014-02-20,1.031855446176555,1.031855446176555
2014-02-21,1.030481017981297,1.030481017981297
2014-02-24,1.0359805666830064,1.0359805666830064
2014-02-25,1.034834952180547,1.034834952180547
2014-02-26,1.0339180547434828,1.0339180547434828
2014-02-27,1.040625929132882,1.040625929132882
2014-02-28,1.0394753866328161,1.0394753866328161
2014-03-03,1.0317664523374217,1.0317664523374217
2014-03-04,1.0448833325554827,1.0448833325554827
2014-03-05,1.0477598337467537,1.0477598337467537
2014-03-06,1.0468395543505475,1.0468395543505473
2014-03-07,1.0416615816495283,1.0416615816495283
2014-03-10,1.0425822475553508,1.0425822475553508
2014-03-11,1.0380949675385067,1.0380949675385067
2014-03-12,1.0420069279916158,1.0420069279916158
2014-03-13,1.0272788824383654,1.0272788824383654
2014-03-14,1.0202600610627217,1.0202600610627217
2014-03-17,1.0292352974882384,1.0292352974882382
2014-03-18,1.0416615816495283,1.0416615816495283
2014-03-19,1.0360237591326182,1.0360237591326182
2014-03-20,1.0389003569512933,1.0389003569512933
2014-03-21,1.0263988000422455,1.0263988000422455
2014-03-24,1.017403465116686,1.017403465116686
2014-03-25,1.0207480294531923,1.0207480294531923
2014-03-26,1.0076006149754504,1.0076006149754504
2014-03-27,1.0019497477589931,1.0019497477589931
2014-03-28,1.0039106076694524,1.0039106076694524
2014-03-31,1.0110606490598009,1.0110606490598009
2014-04-01,1.0288207659248485,1.0288207659248485
2014-04-02,1.0314732847935233,1.031473284793523
2014-04-03,1.0232854650836392,1.0232854650836392
2014-04-04,0.996068424183868,0.996068424183868
2014-04-07,0.9869249270815376,0.9866116934039525
2014-04-08,0.997648029117935,0.99572211156774
2014-04-09,1.0174438624324207,1.012790472847168
2014-04-10,0.9840934919310806,0.981422028787043
2014-04-11,0.9724350595696241,0.9700042448418601
2014-04-14,0.97850713623802,0.9776162618509887
2014-04-15,0.9804559264408427,0.9808454530670553
2014-04-16,0.9944969829202458,0.9938774944243572
2014-04-17,0.9939612700604312,0.9941073710186007
2014-04-21,1.0046654123977894,1.0014885451594453
2014-04-22,1.0161626562014214,1.0094461017654697
2014-04-23,1.0038780272369676,1.0005658500781378
2014-04-24,1.0134899194836764,1.010137567468877
2014-04-25,0.9899464575527311,0.9939922877803729
2014-04-28,0.9898752910371234,0.9972212857416313
2014-04-29,1.0009947985728997,1.0051789389750596
2014-04-30,1.0054888281493577,1.007830974706714
2014-05-01,1.0097815929687088,1.010830096073729
2014-05-02,1.008385109571337,1.0089848991659218
2014-05-05,1.0152350196603104,1.0142896470210592
2014-05-06,0.9975210854793004,1.0011424257981254
2014-05-07,0.9919353331325189,0.9982592573159748
2014-05-08,0.9844911847540497,0.9973369487442834
2014-05-09,0.9895286460630167,1.0010270526776854
2014-05-12,1.0080300003728908,1.0175187416097218
2014-05-13,1.0102024413361037,1.0182106904501493
2014-05-14,1.0041948488601027,1.012905942595012
2014-05-15,0.9954231532083199,1.0049482893615838
2014-05-16,1.0021931997886708,1.0115217550319446
2014-05-19,1.0101521968464828,1.0185566165566613
2014-05-20,1.006940042680548,1.014866319368451
2014-05-21,1.0184460549380212,1.0245536997618425
2014-05-22,1.0235749619808037,1.0290513189109203
2014-05-23,1.0323817860493405,1.0365474796625886
2014-05-27,1.0460258500107997,1.0494638580172386
2014-05-28,1.0428912136740456,1.04623486005598
2014-05-29,1.0494152116769402,1.052924085356397
2014-05-30,1.0482687314567194,1.0530389753398168
2014-06-02,1.0458891475044354,1.0520011970202814
2014-06-03,1.045115821995857,1.0515400910481378
2014-06-04,1.0485705477530867,1.0554608445950158
2014-06-05,1.059269433264825,1.0643413861645596
2014-06-06,1.0651016420736827,1.0704530694709484
2014-06-09,1.0637320984667578,1.069645844137485
2014-06-10,1.0678755854535307,1.0714912343001002
2014-06-11,1.0686362038025612,1.0712604880592203
2014-06-12,1.0574365124596343,1.0615732042932329
2014-06-13,1.061014539834286,1.0646869257614553
