date,ticker,action,price,shares,cash_flow,drawdown,portfolio_value_before_trade
2014-04-04,AMZN,buy_down_20pct,16.149999618530273,0.003083803243688606,-0.049803421209193406,-0.20648574415692056,0.9960684241838681
2014-04-04,META,buy_down_20pct,56.255985260009766,0.000885299954822705,-0.049803421209193406,-0.21213381230546657,0.9960684241838681
2014-04-11,TSLA,buy_down_20pct,13.585332870483398,0.0035789887109885093,-0.0486217529784812,-0.2003609846886314,0.972435059569624
2014-07-24,META,sell_new_high,74.3272933959961,0.000885299954822705,0.06580194948556928,,1.128886785426862
2014-08-11,TSLA,sell_new_high,17.288000106811523,0.0035789887109885093,0.061873557217846584,,1.1137747729823635
2014-10-13,TSLA,buy_down_20pct,14.97266674041748,0.003628366432807344,-0.054326321410541736,-0.2148300399827081,1.0865264282108347
2014-12-16,TSLA,buy_down_30pct,13.187333106994627,0.0043703761031062185,-0.057633605474510796,-0.3084533311355213,1.152672109490216
2015-04-24,AMZN,sell_new_high,22.2549991607666,0.003083803243688606,0.06863003860025925,,1.2992855766698443
2015-08-24,AAPL,buy_down_20pct,23.10832405090332,0.0025373627678308155,-0.058634201073731455,-0.21844888699405018,1.172684021474629
2016-02-02,AMZN,buy_down_20pct,27.604999542236328,0.0021587014054482525,-0.05959095130922393,-0.20443251783970195,1.1918190261844785
2016-02-05,NVDA,buy_down_20pct,0.6446609497070312,0.0881857829382306,-0.05684993057961785,-0.21688886616962155,1.136998611592357
2016-02-05,TSLA,buy_down_40pct,10.84000015258789,0.005244458466732195,-0.05684993057961785,-0.4315479911524729,1.136998611592357
2016-02-09,AMZN,buy_down_30pct,24.103500366210938,0.002293239327306393,-0.055275094965538965,-0.3053446326540753,1.1055018993107792
2016-03-18,NVDA,sell_new_high,0.8276728987693787,0.0881857829382306,0.07298898259473253,,1.3095755216345415
2016-05-10,AMZN,sell_new_high,35.153499603271484,0.004451940732754645,0.15650129678267857,,1.3147592774189383
2016-05-12,AAPL,buy_down_30pct,20.565866470336918,0.0031539921282662136,-0.0648645809584167,-0.30443783831241333,1.297291619168334
2017-02-01,AAPL,sell_new_high,29.61996841430664,0.005691354896097029,0.16857775225700344,,1.5795143699593408
2017-04-03,TSLA,sell_new_high,19.90133285522461,0.013243201002645758,0.2635573512222975,,1.7004655885845186
2017-11-02,TSLA,buy_down_20pct,19.950666427612305,0.0049141886435665255,-0.09804133839015633,-0.22270134652366413,1.9608267678031264
2018-03-27,META,buy_down_20pct,150.8948974609375,0.0006795160952904213,-0.10253551152190475,-0.21166296295941978,2.050710230438095
2018-03-28,TSLA,buy_down_30pct,17.185333251953125,0.0058855032910569574,-0.10114433541228068,-0.33044159478315904,2.0228867082456135
2018-06-01,META,sell_new_high,192.3013153076172,0.0006795160952904213,0.13067183889704415,,2.2458149821914977
2018-07-30,META,buy_down_20pct,169.57089233398438,0.0006713926921240874,-0.11384865790999753,-0.21351725789589748,2.2769731581999504
2018-10-10,META,buy_down_30pct,150.06222534179688,0.0007349070069334652,-0.11028178087971513,-0.3039999445152002,2.2056356175943024
2018-10-19,NVDA,buy_down_20pct,5.675596714019775,0.019603206979980792,-0.11125989711982852,-0.20801077882449914,2.22519794239657
2018-10-24,NVDA,buy_down_30pct,4.938562393188477,0.021707844957667723,-0.10720554674510391,-0.3108586848945146,2.144110934902078
2018-10-29,AMZN,buy_down_20pct,76.94400024414062,0.0013895543506888231,-0.10691787029864747,-0.24546583518209797,2.138357405972949
2018-11-16,NVDA,buy_down_40pct,4.072253227233887,0.02661417854790235,-0.10837967448187423,-0.43174597766969736,2.1675934896374844
2018-11-19,GOOGL,buy_down_20pct,50.91948699951172,0.002036372370456457,-0.10369103644362242,-0.20076236378758838,2.073820728872448
2018-11-20,AAPL,buy_down_20pct,41.99150848388672,0.002448189378154454,-0.1028031650429341,-0.23472435970566718,2.056063300858682
2018-12-17,NVDA,buy_down_50pct,3.5594425201416016,0.028666432329189473,-0.10203651813327885,-0.5033050705695213,2.040730362665577
2018-12-19,AAPL,buy_down_30pct,38.17389297485352,0.0026035744828089356,-0.09938857365880792,-0.3042986202777547,1.9877714731761582
2018-12-21,AMZN,buy_down_30pct,68.87249755859375,0.0013671166012553426,-0.09415673478227157,-0.32461722474256394,1.8831346956454313
2018-12-21,META,buy_down_40pct,123.8623046875,0.000760172637024844,-0.09415673478227157,-0.425517176367212,1.8831346956454313
2019-04-29,GOOGL,sell_new_high,64.2403793334961,0.002036372370456457,0.13081733354237343,,2.4514790371339163
2019-05-13,TSLA,buy_down_40pct,15.133999824523926,0.007483480265309424,-0.1132549890220211,-0.41036367241184823,2.265099780440422
2019-05-24,TSLA,buy_down_50pct,12.708666801452637,0.008569049338937006,-0.10890119285375838,-0.5048571621358717,2.1780238570751673
