base_asset,first_level,levels,tranche_weight,total_target_weight_per_stock,final_value,total_return,cagr,annualized_volatility,sharpe,max_drawdown,trade_count,buy_count,sell_count
QQQ,0.3,30%/40%/50%/60%,0.075,0.3,3.0586792043511304,2.0586792043511304,0.4122386334894901,0.2596166958996357,1.4653540029463084,-0.25410747452890126,23,16,7
QQQ,0.3,30%/40%/50%/60%,0.1,0.4,3.344081329187474,2.344081329187474,0.45167673792512253,0.2840836156260333,1.4593230079637722,-0.2637012090140136,23,16,7
QQQ,0.3,30%/40%/50%/60%,0.05,0.2,2.776616597840845,1.776616597840845,0.37067682606599406,0.2363055347653914,1.4589625454212425,-0.24438315720363624,23,16,7
QQQ,0.3,30%/40%/50%/60%,0.025,0.1,2.498430360330161,1.4984303603301612,0.3267202039689885,0.21543243125443987,1.4267305616372774,-0.23598349005902197,23,16,7
QQQ,0.25,25%/35%/45%/55%,0.05,0.2,2.7118491977936445,1.7118491977936445,0.3607247251355159,0.23682701984946045,1.425426198516902,-0.2570716170726811,32,22,10
QQQ,0.25,25%/35%/45%/55%,0.075,0.3,2.9619022524585463,1.9619022524585463,0.3982890674975863,0.2605480731684378,1.4229131581765695,-0.2729327536026992,32,22,10
QQQ,0.2,20%/30%/40%/50%,0.05,0.2,2.7954156975878677,1.7954156975878677,0.3735353911947987,0.24822177048801566,1.4089533107041565,-0.26170879457380547,49,35,14
QQQ,0.25,25%/35%/45%/55%,0.025,0.1,2.46602312474503,1.4660231247450302,0.32138296679103395,0.21572669777162862,1.4063238438862655,-0.24093054128439884,32,22,10
QQQ,0.2,20%/30%/40%/50%,0.025,0.1,2.5078162422548775,1.5078162422548775,0.32825704728385663,0.22089386151277282,1.4021103575392124,-0.24328716061818945,49,35,14
QQQ,0.25,25%/35%/45%/55%,0.1,0.4,3.158856974619927,2.158856974619927,0.4263606466054517,0.2833704486286671,1.4002927138170231,-0.2824023379994156,29,20,9
QQQ,0.3,30%/40%/50%/60%,0.15,0.6,3.590378239486429,2.590378239486429,0.4838805799944248,0.32062811929611745,1.3955595148544009,-0.27556395081827756,19,14,5
QQQ,0.15,15%/25%/35%/45%,0.025,0.1,2.4864402501840686,1.4864402501840686,0.32475112807164486,0.22169130884100555,1.3859081478508468,-0.25093474952917194,74,51,23
QQQ,0.2,20%/30%/40%/50%,0.075,0.3,3.042115849782821,2.042115849782821,0.40987302700787165,0.27666930071381435,1.3854802026557194,-0.2790390593128603,46,32,14
QQQ,0.15,15%/25%/35%/45%,0.05,0.2,2.7549321147531316,1.7549321147531316,0.36736284851552203,0.24989737161861703,1.383148622236614,-0.276622912053448,74,51,23
QQQ,0.2,20%/30%/40%/50%,0.1,0.4,3.3338419352527286,2.3338419352527286,0.4503029079833667,0.3057139350650118,1.37397423916822,-0.2918850528456266,43,30,13
QQQ,0.1,10%/20%/30%/40%,0.025,0.1,2.458203560536069,1.4582035605360688,0.320087888134057,0.22237968629897287,1.3663541515516007,-0.256132264539526,114,77,37
QQQ,0.1,10%/20%/30%/40%,0.05,0.2,2.6941444746101917,1.6941444746101917,0.3579756801642455,0.2505706407426836,1.3524980183035213,-0.28697338085666013,113,76,37
QQQ,0.15,15%/25%/35%/45%,0.075,0.3,2.956462766674406,1.9564627666744059,0.39749571640068737,0.2782410472177328,1.3475796876533224,-0.3002478092483636,70,47,23
QQQ,0.15,15%/25%/35%/45%,0.1,0.4,3.233205284244402,2.233205284244402,0.43664258838205416,0.3077499380093265,1.3362871942468997,-0.3189272861519239,66,44,22
QQQ,0.25,25%/35%/45%/55%,0.15,0.6,3.3705799955768745,2.3705799955768745,0.4552186422552347,0.32199163043548684,1.33066230171396,-0.3110340621258799,24,17,7
QQQ,0.1,10%/20%/30%/40%,0.075,0.3,2.874618659436745,1.874618659436745,0.38543503093112386,0.27844427288622436,1.3155780873532674,-0.31338050027645903,105,68,37
QQQ,0.2,20%/30%/40%/50%,0.15,0.6,3.6142393860233226,2.6142393860233226,0.4869183896121865,0.3520498484865733,1.3064083669968114,-0.33772291258413134,35,25,10
QQQ,0.1,10%/20%/30%/40%,0.1,0.4,2.985199687331289,1.985199687331289,0.40167565868164967,0.2984051750493642,1.2858783609251005,-0.33378170295730103,94,59,35
QQQ,0.15,15%/25%/35%/45%,0.15,0.6,3.4800778140775277,2.4800778140775277,0.46965371749450946,0.35857997333288555,1.2565544821057693,-0.3651296651712609,55,36,19
QQQ,0.1,10%/20%/30%/40%,0.15,0.6,3.1812048789000356,2.1812048789000356,0.4294686584172436,0.3366893959334983,1.233451273581058,-0.3722246268358148,82,50,32
