date,ticker,action,price,shares,cash_flow,drawdown,portfolio_value_before_trade
2023-10-30,TSLA,buy_down_30pct,197.36000061035156,0.0005039401819660031,-0.09945763462039103,-0.3271970986765208,1.3261017949385472
2024-03-08,TSLA,buy_down_40pct,175.33999633789062,0.000699103613030889,-0.1225808249486422,-0.40226358994045563,1.6344109993152294
2024-04-19,AMD,buy_down_30pct,146.63999938964844,0.000779019024510855,-0.11423534927879629,-0.3062730816429654,1.5231379903839506
2024-04-22,TSLA,buy_down_50pct,142.0500030517578,0.0008083793414505238,-0.11483028792002488,-0.5157496256046374,1.5310705056003318
2024-11-07,TSLA,sell_new_high,296.9100036621094,0.002011423136447416,0.5972116508086538,,2.1030885199379656
2024-12-16,AMD,buy_down_40pct,126.69000244140625,0.0012907522183130975,-0.16352540168933685,-0.4006528549772612,2.1803386891911583
2025-02-11,TSLA,buy_down_30pct,328.5,0.0004828362187098877,-0.1586116978461981,-0.31542531149095665,2.1148226379493082
2025-02-25,AMD,buy_down_50pct,103.95999908447266,0.0014714833069969571,-0.15297540324822045,-0.5081843283043384,2.039672043309606
2025-02-27,TSLA,buy_down_40pct,281.95001220703125,0.0005253772955721009,-0.1481301348998509,-0.41243274952283293,1.9750684653313457
2025-03-10,TSLA,buy_down_50pct,222.14999389648438,0.0006181291975475952,-0.13731739746243704,-0.5370524722253526,1.8308986328324939
2025-04-04,META,buy_down_30pct,502.69439697265625,0.00025402463181976,-0.1276967591088353,-0.31423965120424757,1.7026234547844705
2025-04-04,TSM,buy_down_30pct,144.665283203125,0.0008827049329418991,-0.1276967591088353,-0.3439053186955121,1.7026234547844705
2025-04-07,AMD,buy_down_60pct,83.63999938964844,0.0015148104113229285,-0.12669874187848285,-0.6043145167111816,1.6893165583797713
2025-04-08,AAPL,buy_down_30pct,171.5137481689453,0.000711152173787197,-0.12197237484473535,-0.3336051995314503,1.626298331263138
2025-04-21,AMZN,buy_down_30pct,167.32000732421875,0.0007650382235928664,-0.12800620117486572,-0.3087663843187606,1.7067493489982095
2025-06-26,TSM,sell_new_high,221.55966186523438,0.0008827049329418991,0.19557180646938155,,2.43440237315291
2025-06-30,META,sell_new_high,735.6788940429688,0.00025402463181976,0.18688056019683338,,2.426730444715932
2025-10-07,AMD,sell_new_high,211.50999450683594,0.005056064961143839,1.069408272157739,,3.0901993249239217
2025-10-20,AAPL,sell_new_high,261.50018310546875,0.000711152173787197,0.18596642366120417,,3.1372080975099426
2025-10-31,AMZN,sell_new_high,244.22000122070312,0.0007650382235928664,0.1868376358997344,,3.237601852011001
2025-12-16,TSLA,sell_new_high,489.8800048828125,0.0016263427118295838,0.796712775612203,,3.2230951177261256
2026-03-24,MSFT,buy_down_30pct,371.9344177246094,0.0006220115938110865,-0.23134751996208267,-0.3095172321738857,3.0846335994944356
2026-03-26,META,buy_down_30pct,547.032958984375,0.00041551115664615246,-0.22729829751116493,-0.305283683314477,3.0306439668155325
