date,ticker,action,price,shares,cash_flow,drawdown,portfolio_value_before_trade,unrealized_gain_before_trade
2023-01-03,GOOGL,buy_down_25pct,88.3366928100586,0.0011320324184540148,-0.1,-0.40522634852987727,1.0,
2023-01-03,GOOGL,buy_down_35pct,88.3366928100586,0.0011320324184540148,-0.1,-0.40522634852987727,1.0,
2023-01-03,AAPL,buy_down_25pct,122.98272705078125,0.000813122317239791,-0.09999999999999998,-0.3088517747952272,1.0,
2023-02-02,GOOGL,sell_gain_20pct,106.79303741455078,0.0011320324184540148,0.120893180418444,,1.1874050527472808,0.2089318041844399
2023-02-02,AAPL,sell_gain_20pct,148.30296325683594,0.0004065611586198955,0.060294224568463006,,1.1874050527472808,0.20588449136926035
2023-02-02,TSM,buy_down_25pct,91.76691436767578,0.0012939359037286487,-0.11874050527472808,-0.29804985333136,1.1874050527472808,
2023-02-02,AMZN,buy_down_25pct,112.91000366210938,0.0004985705760050403,-0.05629360556254907,-0.3948131868563265,1.1874050527472808,
2023-02-15,AMZN,buy_down_35pct,101.16000366210938,0.00012361366312399957,-0.012504758614310552,-0.4577920622774817,1.1595609982499107,
2023-03-30,AAPL,sell_gain_30pct,159.8941650390625,0.00020328057930994774,0.03250337849742102,,1.1861279995565948,0.30013513989684104
2023-03-30,AMZN,buy_down_45pct,102.0,0.00031832157667475855,-0.03246880082082537,-0.45328976230146123,1.1861279995565948,
2023-03-31,AAPL,sell_near_prior_high,162.39553833007812,0.00020328057930994774,0.0330118591090891,,1.2055240938679241,0.32047436436356436
2023-03-31,META,buy_down_25pct,210.0950469970703,0.0001582284641777251,-0.03324301661769341,-0.44544449981984424,1.2055240938679241,
2023-05-11,GOOGL,sell_gain_30pct,115.5454330444336,0.0005660162092270074,0.0654005880053033,,1.2340476074187647,0.3080117601060659
2023-05-11,TSM,buy_down_35pct,79.62720489501953,0.0007446116013366962,-0.059291340546845706,-0.3909098007706231,1.234047607418765,
2023-05-26,META,sell_gain_20pct,259.7589111328125,7.911423208886255e-05,0.02055062678251155,,1.3474076431869033,0.2363876009720245
2023-06-15,META,sell_gain_30pct,279.3766174316406,3.9557116044431274e-05,0.011051333275844089,,1.4196810122569623,0.32976298787061076
2023-06-15,TSLA,buy_down_25pct,255.89999389648438,7.669500939723277e-05,-0.019626252436642677,-0.37580800269646253,1.4196810122569623,
2023-06-22,AMZN,sell_gain_20pct,130.14999389648438,0.00047025290790189917,0.06120341309323621,,1.4086046909713819,0.20875138737487786
2023-06-22,TSLA,buy_down_35pct,264.6099853515625,0.0002242071865596164,-0.059327460351255135,-0.35456256661786223,1.4086046909713819,
2023-07-20,AMD,buy_down_25pct,110.25,0.00015648371939327288,-0.017252330063108334,-0.3190661632614057,1.424696873128167,
2023-08-07,AMZN,sell_gain_30pct,142.22000122070312,0.00023512645395094958,0.03343968456792365,,1.4284053856080405,0.32085003342151786
2023-08-17,TSLA,buy_down_45pct,219.22000122070312,0.00013908917363977607,-0.0304911288150983,-0.46527794578148096,1.358047345656757,
2023-08-30,GOOGL,sell_near_prior_high,134.6857147216797,0.0005660162092270074,0.07623429768379528,,1.4335524240377897,0.5246859536759054
2023-09-15,AMD,buy_down_35pct,101.48999786376953,0.000667523302411674,-0.06774693853577718,-0.3731703071567498,1.4147427208923082,
2023-11-29,AMD,sell_gain_20pct,123.8499984741211,0.0004120035109024734,0.051026634196603866,,1.4936651463696098,0.20063701812306922
2023-12-11,AMD,sell_gain_30pct,134.41000366210938,0.0002060017554512367,0.027688696704601685,,1.515791770999925,0.30300870400500046
2023-12-18,META,sell_near_prior_high,341.6200256347656,3.9557116044431274e-05,0.013513502997136011,,1.5652477768802877,0.6260260797082446
2023-12-27,AMD,sell_near_prior_high,146.07000732421875,0.0002060017554512367,0.030090677927564067,,1.5875778296885625,0.4160440871350559
2024-01-18,TSM,sell_gain_20pct,109.40525817871094,0.0010192737525326725,0.11151390805062056,,1.58679845957866,0.252741132194759
2024-02-02,AMZN,sell_near_prior_high,171.80999755859375,0.00023512645395094958,0.04039707547927345,,1.6354508984311191,0.5956633319476039
2024-02-05,TSM,sell_gain_30pct,114.98054504394531,0.0005096368762663362,0.05859832580759706,,1.6335583593435348,0.316580761990755
2024-02-07,TSM,sell_near_prior_high,120.97203826904297,0.0005096368762663362,0.06165181169900674,,1.6518351963879934,0.38518614834326037
2024-04-17,AMD,buy_down_25pct,154.02000427246094,0.001050125025205889,-0.1617402608688292,-0.2713596332924276,1.617402608688292,
2024-08-01,AMD,buy_down_35pct,132.5399932861328,0.0013086026106284554,-0.17344218122691135,-0.37297762217570196,1.7344218122691135,
2024-10-04,AMD,sell_gain_20pct,170.89999389648438,0.0011793638179171723,0.20155326928377926,,1.9213099396955964,0.20264813409413707
2024-11-08,TSLA,sell_gain_20pct,321.2200012207031,0.00021999568479831263,0.0706670141394634,,2.0141369129027717,0.29137222192350176
2024-11-11,TSLA,sell_gain_30pct,350.0,0.00010999784239915631,0.03849924483970471,,2.018728480745635,0.40707389314365905
2024-12-05,TSLA,sell_near_prior_high,369.489990234375,0.00010999784239915631,0.040643101713866585,,2.041827322765642,0.48542776867627024
2025-01-10,AMD,buy_down_45pct,116.04000091552734,0.0016911133997410332,-0.19623680045421005,-0.4510360571717318,1.9623680045421004,
2025-02-10,TSLA,buy_down_25pct,350.7300109863281,0.0005751639921931238,-0.20172727330083468,-0.26909927542849643,2.0172727330083466,
2025-02-25,TSLA,buy_down_35pct,302.79998779296875,0.00034739782679768787,-0.10519205771364376,-0.36898262610680754,1.9258883881614115,
