,core_qqq_trade_dips,QQQ_buy_hold,DIA_buy_hold,equal_weight_stocks
2023-01-03,1.0,1.0,1.0,1.0
2023-01-04,1.002032278715192,1.0047639580084065,1.0040456043184407,1.0075301296959944
2023-01-05,0.9857316418747366,0.9890351254183182,0.9939616663661012,0.987276713009213
2023-01-06,1.0110769779197204,1.0163338058043048,1.015276613439852,1.012516800577388
2023-01-09,1.0176321641477761,1.0229129189451283,1.012287715062397,1.034401583656752
2023-01-10,1.0250542957138014,1.0315710535035107,1.0181453182401234,1.0457669081834646
2023-01-11,1.046710562569347,1.0494176455780084,1.025783233768586,1.0718731488649282
2023-01-12,1.0497414720477876,1.0550891811526235,1.03254624958876,1.089370486441597
2023-01-13,1.0581242571363474,1.0623487419783355,1.0356861478711556,1.095617051366661
2023-01-17,1.058713749337663,1.0645039443358706,1.0239717238986297,1.106939137028312
2023-01-18,1.0480615014569028,1.050665270369335,1.0052835297049283,1.096005258332047
2023-01-19,1.0452154357336645,1.0403434005994157,0.9982185140748733,1.0881173278438312
2023-01-20,1.078377374286644,1.068814349050941,1.008250716956155,1.1267143898296557
2023-01-23,1.1015613278969199,1.0925589001120697,1.0158051131071437,1.170343887109785
2023-01-24,1.096444803241523,1.0903281055389784,1.0186153347836104,1.1614032068363134
2023-01-25,1.0886497496157845,1.0879084481718813,1.0192798712823607,1.1535223177657243
2023-01-26,1.1103384240717122,1.1091198357976946,1.025444266365397,1.1920469019218292
2023-01-27,1.123793612256006,1.1201604203398166,1.0261995592836972,1.2261436132009291
2023-01-30,1.1001437274204986,1.0975119564042501,1.0184940654299017,1.190767928060672
2023-01-31,1.116952251371227,1.113959386021657,1.0298856586471112,1.2152368314427973
2023-02-01,1.1381063131425873,1.137779882532994,1.0300072213944176,1.2596783042459587
2023-02-02,1.1874050527472808,1.1786146325335238,1.0286775616097217,1.3468512512140896
2023-02-03,1.1635917503184783,1.1576681708968086,1.0242960216219346,1.3212883229170642
2023-02-06,1.1493884618477983,1.1478750934011293,1.0227851423917367,1.3088684694947756
2023-02-07,1.1759532865997235,1.1716577938046882,1.0319709047437051,1.3408517334605947
2023-02-08,1.1495313883081213,1.150824367256655,1.0256256814066307,1.31722559277911
2023-02-09,1.1391048698871349,1.1406532109383114,1.018554895702488,1.3084327339588389
2023-02-10,1.1315439625569295,1.1331668734659313,1.0235406309057686,1.2855518405380624
2023-02-13,1.1473963638615898,1.151315834402653,1.0350835174215163,1.3027110316596673
2023-02-14,1.1555666027288563,1.1598229022748077,1.030823051191706,1.328409076148573
2023-02-15,1.1595609982499104,1.1687084022042784,1.0323939783115628,1.3278642001420065
2023-02-16,1.1378209090020517,1.1467786530409148,1.0194916036620216,1.2840317243951513
2023-02-17,1.1289597112626772,1.1386874600992025,1.0238863463617043,1.2811110709697828
2023-02-21,1.1010819005779453,1.1117288269383339,1.0025787341278953,1.245827524274461
2023-02-22,1.1014324380164282,1.1125606945441024,1.0003690891458843,1.2486107991879998
2023-02-23,1.1115359143509644,1.1222775910998055,1.0038498129909208,1.2637237625736346
2023-02-24,1.0915691535347403,1.1034860963308575,0.9931051526566008,1.2380581019212753
2023-02-27,1.097538695374407,1.1113880732439116,0.9959500925754599,1.2527164430486246
2023-02-28,1.0965597743411908,1.1099514679136948,0.9884137890296613,1.2552016338494276
2023-03-01,1.0902353972876617,1.1010286428559821,0.9897153808268457,1.2456628307560746
2023-03-02,1.0993688659635348,1.110140683942353,1.0001268438320647,1.2436514333605349
2023-03-03,1.1218671924715116,1.1330913989952593,1.0115372142395258,1.2794131216808413
2023-03-06,1.12456822957998,1.134376819894364,1.012959879794687,1.277432728133203
2023-03-07,1.1115656632753588,1.1204631424366926,0.9953750411240027,1.2648830145566876
2023-03-08,1.119060695963368,1.1260586148162155,0.994225036018954,1.2705715092211702
2023-03-09,1.0989974481106675,1.1065487585097171,0.9778510327259042,1.2427327601111147
2023-03-10,1.0825231888776305,1.0910087887136348,0.9677116433836027,1.2271144020473208
2023-03-13,1.091129870309749,1.0991000994002311,0.9649571664906957,1.2371578069518
2023-03-14,1.1161581082191288,1.1243573189866687,0.9751571905098516,1.286991988898076
2023-03-15,1.1204552930892775,1.1302555134630679,0.9671365919321455,1.295218151554775
2023-03-16,1.15317184272707,1.1600500321561278,0.9783657428941048,1.3453437730133389
2023-03-17,1.1500142520408199,1.1545674771204029,0.9665541078428803,1.335163093089458
2023-03-20,1.1533043994484187,1.1586647635953542,0.9780861387955136,1.3362009130836054
2023-03-21,1.1745444783828365,1.1752133360681545,0.9881611771420569,1.3716935992365855
2023-03-22,1.1600858440340711,1.159233000405749,0.9716527017834028,1.3581420046132808
2023-03-23,1.1750146547233025,1.17297924463831,0.973655406481182,1.379526299627032
2023-03-24,1.1757782679568825,1.1772964785566549,0.9781468712702339,1.3733366178223803
2023-03-27,1.163357083723921,1.16923024753036,0.9841854982977304,1.3570729293218222
2023-03-28,1.156874395165948,1.163019675876593,0.9826685555998471,1.3437277133755636
