date,ticker,action,price,shares,cash_flow,drawdown,portfolio_value_before_trade
2023-10-30,TSLA,buy_down_30pct,197.36000061035156,0.0005039399144670013,-0.09945758182678789,-0.3271970986765208,1.3261010910238387
2024-03-08,TSLA,buy_down_40pct,175.33999633789062,0.0006991033593715825,-0.1225807804720203,-0.40226358994045563,1.634410406293604
2024-04-19,AMD,buy_down_30pct,146.63999938964844,0.0007790187426683496,-0.11423530794941147,-0.3062730816429654,1.5231374393254864
2024-04-22,TSLA,buy_down_50pct,142.0500030517578,0.0008083790492795672,-0.1148302464171396,-0.5157496256046374,1.531069952228528
2024-11-07,TSLA,sell_new_high,296.9100036621094,0.002011422323118151,0.5972114093230587,,2.1030877492798052
2024-12-16,AMD,buy_down_40pct,126.69000244140625,0.0012907518862919204,-0.16352535962557313,-0.4006528549772612,2.180338128340975
2025-02-11,TSLA,buy_down_30pct,328.5,0.0004828360455105986,-0.15861164095023164,-0.31542531149095665,2.114821879336422
2025-02-25,AMD,buy_down_50pct,103.95999908447266,0.0014714828512999171,-0.1529753558739566,-0.5081843283043384,2.039671411652755
2025-02-27,TSLA,buy_down_40pct,281.95001220703125,0.000525377133557966,-0.1481300892199636,-0.41243274952283293,1.9750678562661812
2025-03-10,TSLA,buy_down_50pct,222.14999389648438,0.0006181289533032317,-0.1373173432035532,-0.5370524722253526,1.8308979093807094
2025-04-03,NVDA,buy_down_30pct,101.7760238647461,0.0013583069755672868,-0.13824308316098727,-0.31868179405661134,1.8432411088131637
2025-04-04,META,buy_down_30pct,502.69439697265625,0.0002537880252485337,-0.12757781831119291,-0.31423965120424757,1.7010375774825723
2025-04-04,TSM,buy_down_30pct,144.66526794433594,0.0008818828466849562,-0.12757781831119291,-0.34390543330152323,1.7010375774825723
2025-04-07,AMD,buy_down_60pct,83.63999938964844,0.0015171614014064785,-0.12689537868763603,-0.6043145167111816,1.6919383825018137
2025-04-08,AAPL,buy_down_30pct,171.51377868652344,0.0007125226660593573,-0.12220745485563626,-0.3336050019433979,1.6294327314084835
2025-04-21,AMZN,buy_down_30pct,167.32000732421875,0.0007644873077227752,-0.12791402192744702,-0.3087663843187606,1.7055202923659605
2025-06-25,NVDA,sell_new_high,154.28436279296875,0.0013583069755672868,0.2095655262026434,,2.4656627918483704
2025-06-26,TSM,sell_new_high,221.55967712402344,0.0008818828466849562,0.19538967877273355,,2.478182270417004
2025-06-30,META,sell_new_high,735.6788940429688,0.0002537880252485337,0.1867064937361903,,2.4709389154306693
2025-10-07,AMD,sell_new_high,211.50999450683594,0.005058414881666666,1.0699053038346136,,3.138885897301157
2025-10-20,AAPL,sell_new_high,261.50018310546875,0.0007125226660593573,0.1863248076413187,,3.18646875823078
2025-10-31,AMZN,sell_new_high,244.22000122070312,0.0007644873077227752,0.1867030912252682,,3.2882627334882377
2025-12-16,TSLA,sell_new_high,489.8800048828125,0.0016263421323717965,0.7967124917474193,,3.272361385021566
2026-03-24,MSFT,buy_down_30pct,371.9344177246094,0.0006315192206421629,-0.234883733611442,-0.30951731041217256,3.1317831148192266
2026-03-26,META,buy_down_30pct,547.032958984375,0.0004218623646635716,-0.230772617626059,-0.305283683314477,3.07696823501412
