,strategy2_equity
2023-01-03,1.0
2023-01-04,1.0047639568865434
2023-01-05,0.989034657021008
2023-01-06,1.0163335664681488
2023-01-09,1.022912678059659
2023-01-10,1.0315711638137088
2023-01-11,1.0494172807060924
2023-01-12,1.0550886972002627
2023-01-13,1.0623484918061354
2023-01-17,1.0645035759112862
2023-01-18,1.0506653761830413
2023-01-19,1.040343155609247
2023-01-20,1.0688138618664442
2023-01-23,1.0925586428256882
2023-01-24,1.0903279665227823
2023-01-25,1.0879084274703459
2023-01-26,1.109119574611383
2023-01-27,1.1201600388087045
2023-01-30,1.097512051186044
2023-01-31,1.1139592414405377
2023-02-01,1.13777949685268
2023-02-02,1.1786142372370463
2023-02-03,1.1576677805330073
2023-02-06,1.1478748230883533
2023-02-07,1.1716574001464746
2023-02-08,1.150823978504499
2023-02-09,1.140653177815927
2023-02-10,1.1331668421065024
2023-02-13,1.1513154455347618
2023-02-14,1.1598229823830146
2023-02-15,1.1687081269854727
2023-02-16,1.1467782652414829
2023-02-17,1.1386867209705944
2023-02-21,1.1117285651376319
2023-02-22,1.112560079312935
2023-02-23,1.1222775623046908
2023-02-24,1.10348595421609
2023-02-27,1.1113878115234535
2023-02-28,1.1099514420212553
2023-03-01,1.101028265830207
2023-03-02,1.1101400692810734
2023-03-03,1.1330911321638915
2023-03-06,1.134376670505149
2023-03-07,1.1204625253445804
2023-03-08,1.126058349640996
2023-03-09,1.1065483801840117
2023-03-10,1.0910085317922886
2023-03-13,1.0990997228286081
2023-03-14,1.1243567009775177
2023-03-15,1.1302551295546654
2023-03-16,1.1600494057417101
2023-03-17,1.1545673229764957
2023-03-20,1.1586647262314345
2023-03-21,1.1752130593175036
2023-03-22,1.1592324919285901
2023-03-23,1.1729789684137648
2023-03-24,1.177295965825733
2023-03-27,1.169229972188665
2023-03-28,1.1630194019974236
2023-03-29,1.184225721599352
2023-03-30,1.195434914175774
2023-03-31,1.21531589767501
2023-04-03,1.2123621502094681
2023-04-04,1.2082726358599023
2023-04-05,1.1963440222113897
2023-04-06,1.2044098981036013
2023-04-10,1.2037279198958193
2023-04-11,1.1960029153626424
2023-04-12,1.185437669405412
